General Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiscal Year,State,Status,Name,Address,Address 2,City,Zip Code,E-mail Address (if applicable),Website Address (if applicble),Phone,TTY,Toll-free Phone,Toll-free TTY,Fax,Operating Agency Name,Operating Agency Address,Operating Agency Address 2,Operating Agency State (FY2014 and earlier),Operating Agency Zip Code,Operating Agency E-mail,Operating Agency Website,Operating Agency Phone,Operating Agency TTY,Operating Agency Toll-free Phone,Operating Agency Toll-free TTY,Operating Agency Fax,Name of CAP Director/Coordinator,Person to contact regarding report,Contact Person Phone
2012,Michigan,Published,Michigan Protection and Advocacy Service Inc.,4095 Legacy Parkway,Suite 500,Lansing,48911,ecerano@mpas.org,http://www.mpas.org,(517) 487-1755,(517) 487-1755,(800) 288-5923,(800) 288-5923,(517) 487-0827,,,,MI,,,,,,,,,Brian Sabourin,Brian Sabourin,(517)487-1755
2012,District of Columbia,Published,"University Legal Services, Inc.","220 I Street, N.E., Suite 130",,Washington,20002,jcooney@uls-dc.org,http://www.uls.dc.org,202 547-4747,202-547-2657,877-221-4638,,202-547-2662,"University Legal Services, Inc.","220 I Street, N.E., Suite 130",,DC,20002,jcooney@uls-dc.org,http://www.uls.dc.org,202 547-4747,202-547-2657,877-221-4638,,202-547-2662,Joseph R. Cooney,Joseph R. Cooney,202 547-0198
2013,Northern Marianas,Published,NMPASI,P.O. Box 503529,,Saipan,96950,jimrayphand@gmail.com,http://www.nmpasi.org,(670) 235-7273,(670) 235-7278,,,(670) 235-7275,NMPASI,P.O. Box 503529,,MP,96950,jimrayphand@gmail.com,http://www.nmpasi.org,(670) 235-7273,(670) 235-7278,,,(670) 235-7275,James M. Rayphand,James M. Rayphand,(670) 235-7273
2013,Massachusetts,Published,Massachusetts Office on Disability,One Ashburton Place #1305,,Boston,2108,naomi.goldberg@state.ma.us,http://www.mass.gov/mod,617-727-7440,617-727-7440,800-322-2020,800-322-2020,617-727-0965,Massachusetts Office on Disability,One Ashburton Place #1305,,MA,2108,naomi.goldberg@state.ma.us,http://www.mass.gov/mod,617-727-7440,617-727-7440,800-322-2020,800-322-2020,617-727-0965,Naomi Goldberg,Naomi Goldberg,617-727-7440
2013,Alabama,Published,Alabama Department of Rehabilitation Services,602 S. Lawrence Street,,Montgomery AL,36104,Cary.Boswell@rehab.alabama.gov,http://www.rehab.state.al.us,334-293-7200,334-293-7500,1-800-441-7607,1-800-441-7607,334-293-7383,Alabama Department of Rehabilitation Services,602 S. Lawrence Street,,AL,36104,Cary.Boswell@rehab.alabama.gov,http://www.rehab.state.al.us,334-293-7200,334-293-7500,1-800-441-7607,1-800-441-7607,334-293-7383,Rachel L. Hughes,Rachel L. Hughes,334-263-2749
2013,Arkansas,Published,Disability Rights Center of Arkansas,1100 N. University Suite 201,,Little Rock,72207,tmasseau@arkdisabilityrights.org,http://arkdisabilityrights.org,501 296-1775,501 296-1775,800 482-1174,800 482-1174,501 296-1779,Disability Rights Center of Arkansas,1100 N. University Suite 201,,AR,72207,tmasseau@arkdisabilityrights.org,http://arkdisabilityrights.org,501 296-1775,501 296-1775,800 482-1174,800 482-1174,501 296-1779,Tom Masseau,Tom Masseau,501-296-1775
2013,American Samoa,Published,Office of Protection and Advocacy for the Disabled,P.O. Box 3937,,Pago Pago,96799,fsavali94@yahoo.com,,(684) 699-2442,,,,(684) 699-7286,Office of Protection and Advocacy for the Disabled,P.O. Box 3937,,AS,96799,fsavali94@yahoo.com,,(684) 699-2442,,,,(684) 699-7286,Dr. Peter Tinitali,Fiaava'e Savali,684-699-2441
2013,Arizona,Published,Arizona Center for Disability Law,5025 East Washington Street,Suite 202,Phoenix,85034,center@azdisabilitylaw.org,http://www.azdisabilitylaw.org,602-274-6287,602-274-6287,800-927-2260,800-927-2260,602-274-6779,Arizona Center for Disability Law,5025 East Washington Street,Suite 202,AZ,85034,center@azdisabilitylaw.org,http://www.azdisabilitylaw.org,602-274-6287,602-274-6287,800-927-2260,800-927-2260,602-274-6779,John C. Gutierrez,John C. Gutierrez,602-274-6287
2013,California,Published,Sheila Conlon Mentkowski,721 Capitol Mall,,Sacramento,95814,sheila.conlon-mentkowski@dor.ca.gov,http://www.dor.ca.gov,916-558-5395,916-604-4970,1-800-952-5544,1-800-712-1085,916-558-5391,,,,CA,,,,,,,,,,,
2013,Colorado,Published,Center for Legal Advocacy,455 Sherman Streeet,Suite 130,Denver,80203,tlcmail@thelegalcenter.org,http://www.thelegalcenter.org,303-722-0300,303-722-3619,800-288-1376,800-288-1376,303-722-0720,Center for Legal Advocacy,455 Sherman Streeet,Suite 130,CO,80203,tlcmail@thelegalcenter.org,http://www.thelegalcenter.org,303-722-0300,303-722-3619,800-288-1376,800-288-1376,303-722-0720,Mary Anne Harvey,Geoffrey Peterson,970.241.6371 x406
2013,Connecticut,Published,Protection and Advocacy for Persons with Disabilit,60B Weston Street,,Hartford,6120,gretchen.knauff@ct.gov,http://www.ct.gov/opapd,(860) 297-4300,(860) 297-4380,(800) 842-7303,(800) 842-7303,(860) 566-8714,Protection and Advocacy for Persons with Disabilit,60B Weston Street,,CT,6120,gretchen.knauff@ct.gov,http://www.ct.gov/opapd,(860) 297-4300,(860) 297-4380,(800) 842-7303,(800) 842-7303,(860) 566-8714,James McGaughey,Gretchen Knauff,(860) 297-4342
2013,Delaware,Published,United Cerebral Palsy of Dela. Inc.,700A River Road,,Wilmington,19809,medgar.cap@ucp.org,http://www.ucpde.org,302-764-2400,302-764-6216,1-800-640-9336,1-800-640-9336,302-764-8713,United Cerebral Palsy of Dela. Inc.,700A River Road,,DE,19809,medgar.cap@ucpde.org,http://www.ucpde.org,302-764-2400,302-764-6216,1-800-640-9336,1-800-640-9336,302-764-8713,Monica Edgar,Monica Edgar,302-764-6216
2013,Florida,Published,Disability Rights Florida,2728 Centerview Drive,Suite 102,Tallahassee FL,32301,annr@disabilityrightsflorida.org,http://www.disabilityrightsflorida.org,(850) 488-9071,(800) 346-4127,(800) 342-0823,(800) 346-4127,(850) 488-8640,Disability Rights Florida,2728 Centerview Drive,Suite 102,FL,32301,annr@disabilityrightsflorida.org,http://www.disabilityrightsflorida.org,(850) 488-9071,(800) 346-4127,(800) 342-0823,(800) 346-4127,(850) 488-8640,Robert E. Whitney,Ann Robinson,(850) 488.9071
2013,Georgia,Published,Martin & Jones,123 N. McDonough St.,123 N. McDonough Street,Decatur,30030,gacapdirector@georgiacap.com,http://www.georgiacap.com,404-373-2040,404-373-2040,800-822-9727,800-822-9727,404-373-4110,Martin & Jones,123 N. McDonough St.,123 N. McDonough Street,GA,30030,gacapdirector@georgiacap.com,http://www.georgiacap.com,404-373-2040,404-373-2040,800-822-9727,800-822-9727,404-373-4110,,,
2013,Guam,Published,PARENTS-AGENCIES NETWORKING INC. (PAN INC),DOS AMANTES PLAZA SUITE 206,"1350 N. MARINE CORPS DRIVE, UPPER TUMON",TAMUNING,96913,gcap671@gmail.com,http://www. guamgetcare.org,(671)646-4227,(671)646-4227,,,(671)649-4211,PARENTS-AGENCIES NETWORKING INC. (PAN INC),DOS AMANTES PLAZA SUITE 206,"1350 N. MARINE CORPS DRIVE, UPPER TUMON",GU,96913,gcap671@gmail.com,http://www. guamgetcare.org,(671)646-4227,(671)646-4227,,,(671)649-4211,EDMUND CRUZ,EDMUND CRUZ,(671)646-4227
2013,Hawaii,Published,HAWAII DISABILITY RIGHTS CENTER,1132 Bishop Street,Suite 2102,Honolulu,96813,info@hawaiidisabilityrights.org,http://www.hawaiidisabilityrights.org,808-949-2922,808-949-2922,1-800-882-1057,1-800-882-1057,808-949-2928,HAWAII DISABILITY RIGHTS CENTER,1132 Bishop Street,Suite 2102,HI,96813,info@hawaiidisabilityrights.org,http://www.hawaiidisabilityrights.org,808-949-2922,808-949-2922,1-800-882-1057,1-800-882-1057,808-949-2928,Louis Erteschik,Ann E. Collins,808-949-2922 x204
2013,Iowa,Published,Iowa Client Assistance Program,"DHR, Office of Persons with Disabilities",Lucas State Office Bldg.,Des Moines,50319,mike.williams@iowa.gov,http://www.humanrights.iowa.gov/pd/client_assis_program/inde,(800)652-4298,(800)652-4298,(800)652-4298,(800)652-4298,(515)242-6119,Iowa Client Assistance Program,"DHR, Office of Persons with Disabilities",Lucas State Office Bldg.,IA,50319,mike.williams@iowa.gov,http://www.humanrights.iowa.gov/pd/client_assis_program/inde,(800)652-4298,(800)652-4298,(800)652-4298,(800)652-4298,(515)242-6119,Mike Williams,Mike Williams,515-281-3656
2013,Idaho,Published,"Disability Rights Idaho, Inc.",4477 Emerald Street,Suite B-100,Boise,83706,info@disabilityrightsidaho.org,http://disabilityrightsidaho.org,208-336-5353,208-336-5353,866-262-3462,866-262-3462,208-336-5396,"Disability Rights Idaho, Inc.",4477 Emerald Street,Suite B-100,ID,83706,info@disabilityrightsidaho.org,http://disabilityrightsidaho.org,208-336-5353,208-336-5353,866-262-3462,866-262-3462,208-336-5396,Dina Flores-Brewer,same,208-336-5353
2013,Illinois,Published,Illinois Department of Human Services,Division of Rehabilitation Services,100 S. Grand Ave. East - P.O. Box 19429,Springfield,62794,,,217-524-7552,217-524-7552,,,217-558-4270,Illinois Client Assistance Program,"RCC - One College Park, Room W155",,IL,62521,cathy.meadows@illinois.gov,http://www.dhs.state.il.us/page.aspx?item=29978,217-875-9106,217-875-9106,,,217-875-9797,Cathy Meadows,Cathy Meadows,217-875-9106
2013,Kansas,Published,The Disability Rights Center of Kansas,635 SW Harrison Suite 100,,Topeka,66603,rocky@drckansas.org,,785-273-9661,877-335-3725,877-776-1541,877-335-3725,,The Disability Rights Center of Kansas,635 SW Harrison Suite 100,,KS,66603,rocky@drckansas.org,,785-273-9661,877-335-3725,877-776-1541,877-335-3725,,,,
2013,Kentucky,Published,Kentucky Client Assistance Program,275 E. Main Street,2nd Floor,Frankfort,40621,vanessa.jones@ky.gov,http://kycap.ky.gov,502-564-8035,,800-633-6283,,502-564-1566,Kentucky Client Assistance Program,275 E. Main Street,2nd Floor,KY,40621,vanessa.jones@ky.gov,http://kycap.ky.gov,502-564-8035,,800-633-6283,,502-564-1566,Gerry Gordon-Brown,Vanessa Jones,5025648035
2013,Louisiana,Published,Advocacy Center,8325 Oak Street,,New Orleans,70118-2043,dgallegos@advocacyla.org,http://www.advocacyla.org,504-522-2337,,800-960-7705,,504-522-5507,,,,LA,,,,,,,,,David Gallegos,David Gallegos,504-522-2337
2013,Maryland,Published,Maryland Division of Rehabilitation Services -DORS,2301 Argonne DR,,Baltimore,21218,cap@dors.state.md.us,http://www.dors.state.md.us,(410)554-9361,,1-800-638-6243,,410-554-9362,Maryland Division of Rehabilitation Services -DORS,2301 Argonne DR,,MD,21218,cap@dors.state.md.us,http://www.dors.state.md.us,(410)554-9361,,1-800-638-6243,,410-554-9362,Tom Laverty,Tom Laverty,410-554-9363
2013,Maine,Published,Bureau of Rehabilitation Services,150 State House Station,,Augusta,4333,Paul.E.Cote@state.me.us,http://www.maine.gov,207-624-5977,207-624-5977,1-888-755-0023,1-888-755-0023,207-624-5980,Bureau of Rehabilitation Services,150 State House Station,,ME,4333,Paul.E.Cote@state.me.us,http://www.maine.gov,207-624-5977,207-624-5977,1-888-755-0023,1-888-755-0023,207-624-5980,Kathy Despres,Kathy Despres,207-377-7055
2013,Michigan,Published,Michigan Protection and Advocacy Service Inc.,4095 Legacy Parkway,Suite 500,Lansing,48911,ecerano@mpas.org,http://www.mpas.org,(517) 487-1755,(517) 487-1755,(800) 288-5923,(800) 288-5923,(517) 487-0827,Michigan Protection and Advocacy Service Inc.,4095 Legacy Parkway,Suite 500,MI,48911,ecerano@mpas.org,http://www.mpas.org,(517) 487-1755,(517) 487-1755,(800) 288-5923,(800) 288-5923,(517) 487-0827,Brian Sabourin,Brian Sabourin,517-487-1755
2013,Minnesota,Published,Mid-Minnesota Legal Assistance,430 1st Avenue N.,Suite 300,Minneapolis,55401,mndlc@mylegalaid.org,http://www.mndlc.org,6123321441,6123324668,8002924150,,6123345755,MMLA MN Disability Law Center,430 1st Avenue N.,Suite 300,MN,55401,mndlc@mylegalaid.org,http://www.mndlc.org,6123321441,6123324668,8002924150,,6123345755,,Brenda Jursik,6127463768
2013,Missouri,Published,Missouri Protection & Advocacy Services,925 S. Country Club Dr.,,Jefferson City,65109,mopasjc@embarqmail.com,http://www.moadvocacy.org,573-893-3333,800-735-2966,800-392-8667,800-735-2966,573-893-4231,,,,MO,,,,,,,,,"Daniel Cayou, Dir of Advocacy","Shawn de Loyola, Executive Dir",573-893-3333
2013,Mississippi,Published,Mississippi Society for Disabilities,P.O. Box 4958,,Jackson MS 39216,39296,johnmsd@bellsouth.net,http://www.msdisabilities.com,601-362-2585,601-362-2585,800-962-2400,800-962-2400,601-982-1951,Mississippi Society for Disabilities,P.O. Box 4958,,MS,39296,johnmsd@bellsouth.net,http://www.msdisabilities.com,601-362-2585,601-362-2585,800-962-2400,800-962-2400,601-982-1951,Johnny McGinn,Johnny McGinn,601-362-2585
2013,Montana,Published,Disability Rights Montana,1022 Chestnut Street,,Helena,59601,bernie@disabiltiyrightsmt.org,https://disabilityrightsmt.org,406-449-2344,406-449-2344,800-245-4743,800-245-4743,406-449-2418,Disability Rights Montana,1022 Chestnut Street,,MT,59601,bernie@disabiltiyrightsmt.org,https://disabilityrightsmt.org,406-449-2344,406-449-2344,800-245-4743,800-245-4743,406-449-2418,Bernadette Franks-Ongoy,Bernadette Franks-Ongoy,406-449-2344
2013,North Carolina,Published,Division of Vocational Rehabilitation Services,2801 Mail Service Center,,Raleigh,27699,,http://dvr.dhhs.state.nc.us,919-855-3500,919-855-3579,,,919-733-7968,Division of Vocational Rehabilitation Services,2801 Mail Service Center,,NC,27699,,http://dvr.dhhs.state.nc.us,919-855-3500,919-855-3579,,,919-733-7968,John Marens,John Marens,919-855-3600
2013,North Dakota,Published,Division of Vocational Rehabilitation,1237 West Divide Avenue Ste 1A,,Bismarck,58501,rcusack@nd.gov,http://www.nd.gov/dhs/dvr/,701-328-8950,701-328-6888,1-800-755-2745,1-800-366-6888,701-328-8969,Protection & Advocacy Project,400 E. Broadway,Suite 409,ND,58501,tlarsen@nd.gov,http://www.ndpanda.org/cap/,701-328-2950,701-328-6888,1-800-472-2670,1-800-366-6888,701-328-3934,Teresa Larsen,Teresa Larsen,701-328-2950
2013,Nebraska,Published,Nebraska Vocational Rehabilitation,301 Centennial Mall South-6th Floor,Box 94987,Lincoln,68509,mark.schultz@nebraska.gov,http://www.cap.ne.gov,402.471.1202,402.471.3644,877.637.3422,800.637.3422,402.471.0788,Nebraska Vocational Rehabilitation,301 Centennial Mall South-6th Floor,Box 94987,NE,68509,mark.schultz@nebraska.gov,http://www.cap.ne.gov,402.471.1202,402.471.3644,877.637.3422,800.637.3422,402.471.0788,Victoria Rasmussen,Victoria Rasmussen,402.471.3656
2013,New Hampshire,Published,GOVERNOR`S COMMISSION ON DISABILITY,ATTN: CLIENT ASSISTANCE PROGRAM (CAP),121 SOUTH FRUIT ST SUITE 101,CONCORD,3301,bill.hagy@nh.gov,http://www.nh.gov/disability/,(603) 271-4175,(800) 852-3405,(800) 852-3405,(800) 852-3405,(603) 271-2837,GOVERNOR`S COMMISSION ON DISABILITY,ATTN: CLIENT ASSISTANCE PROGRAM (CAP),121 SOUTH FRUIT ST SUITE 101,NH,3301,bill.hagy@nh.gov,http://www.nh.gov/disability/,(603) 271-4175,(800) 852-3405,(800) 852-3405,(800) 852-3405,(603) 271-2837,BILL HAGY,BILL HAGY,603-271-4175
2013,Nevada,Published,State Of Nevada Rehabilitation Division,1370 S. Curry Street,,Carson City,89703,detradmin@nvdetr.org,http://nvdetr.org,775-684-4040,775-684-8400,,,775-684-4184,State Of Nevada Rehabilitation Division,1370 S. Curry Street,,NV,89703,detradmin@nvdetr.org,http://nvdetr.org,775-684-4040,775-684-8400,,,775-684-4184,Robin Hall-Walker,Melaine Mason,775 684-5880
2013,New York,Published,NYS CQCAPD,161 Delaware Avenue,,Delmar,12054,webmaster@cqc.ny.gov,http://www.cqc.ny.gov,(518)5490350,1-800-624-4143,1-800-624-4143,1-800-624-4143,(518)388-2890,NYS CQCAPD,161 Delaware Avenue,,NY,12054,webmaster@cqc.ny.gov,http://www.cqc.ny.gov,(518)549-0350,1-800-624-4143,1-800-624-4143,1-800-624-4143,(518)388-2890,Lisa Rosano Kaczkowski,Colleen Scott,5185490350
2013,Ohio,Published,Disability Rights Ohio,50 West Broad St. Suite 1400,,Columbus,43215,,http://www.disabilityrightsohio.org,614-466-7264,614-728-2553,800-282-9181,800-858-3542,,,,,OH,,,,,,,,,Michael Kirkman,Debbie Higginson,614-466-7264
2013,Oklahoma,Published,Office of Disability Concerns,2401 N.W. 23rd St. Ste 90,,Oklahoma City Ok,73107,William.Ginn@odc.ok.gov,http://www.odc.ok.gov,405-521-3756,,800-522-8224,,405-522-6695,Office of Disability Concerns,2401 N.W. 23rd St. Ste 90,,OK,73107,William.Ginn@odc.ok.gov,http://www.odc.ok.gov,405-521-3756,,800-522-8224,,405-522-6695,William Ginn,William Ginn,405-521-3756
2013,Oregon,Published,Disability Rights Oregon formerly OAC,"610 SW Broadway, Suite 200",,Portland,97205,aforbes@droregon.org,http://www.droregon.org,503-243-2081,,800-452-1695,,503-243-1738,Disability Rights Oregon formerly OAC,"610 SW Broadway, Suite 200",,OR,97205,aforbes@droregon.org,http://www.droregon.org,503-243-2081,,800-452-1695,,503-243-1738,Ted Wenk,Alice Forbes,503-243-2081 x204
2013,Pennsylvania,Published,Center for Disability Law & Policy,1515 Market Street,Suite 1300,Philadelphia,19102,admin@equalemployment.org,http://www.equalemployment.org,215 557 7112,215 557 7112,1-888-745-2357,1-888-745-2357,215 557 7602,Center for Disability Law & Policy,1515 Market Street,Suite 1300,PA,19102,admin@equalemployment.org,http://www.equalemployment.org,215 557 7112,215 557 7112,1-888-745-2357,1-888-745-2357,215 557 7602,Stephen S Pennington,Jamie Ray-Leonetti,215 557 7112
2013,Puerto Rico,Published,OFFICE OF THE OMBUDSMAN FOR PERSONS WITH DISABILIT,PO BOX 41309,,SAN JUAN PR,940,idiaz@oppi.gobierno.pr,http://www.oppi.gobierno.pr,(787) 721-4299,(787)725-4012,1-800-981-4125,(787)725-4012,(787)721-2455,OFFICE OF THE OMBUDSMAN FOR PERSONS WITH DISABILIT,PO BOX 41309,,PR,940,idiaz@oppi.gobierno.pr,http://www.oppi.gobierno.pr,(787) 721-4299,(787)725-4012,1-800-981-4125,(787)725-4012,(787)721-2455,Project Manager,Gisela González Berríos,787-721-4299
2013,South Carolina,Published,Governor`s Office Client Assistance Program,1205 Pendleton St.,,Columbia,29201,driley@oepp.sc.gov,http://www.oepp.sc.gov/cap,8037340285,8037341147,18008680040,,8037340546,Governor`s Office Client Assistance Program,1205 Pendleton St.,,SC,29201,driley@oepp.sc.gov,http://www.oepp.sc.gov/cap,8037340285,8037341147,18008680040,,8037340546,Denise Riley,Denise Riley,8037340285
2013,South Dakota,Published,South Dakota Advocacy Services,"221 S. Central Ave., Ste. 38",,Pierre,57501,keanr@sdadvocacy.com,http://www.sdadvocacy.com,605-224-8294,605-224-8294,800-658-4782,800-658-4782,605-224-5125,South Dakota Advocacy Services,"221 S. Central Ave., Ste. 38",,SD,57501,keanr@sdadvocacy.com,http://www.sdadvocacy.com,605-224-8294,605-224-8294,800-658-4782,800-658-4782,605-224-5125,Robert J. Kean,Robert J. Kean,605-224-8294
2013,Tennessee,Published,Disability Law & Advocacy Center of Tennessee,2416 21st Avenue South Suite 100,,Nashville,37212,GETHELP@dlactn.org,http://www.dlactn.org,615-298-1080,615-298-2471,1-800-342-1660,1-888-852-2852,615-298-2046,,,,TN,,,,,,,,,Lisa Primm,Evelyn Doxey,615-298-1080
2013,Texas,Published,Disability Rights Texas,2222 W Braker Ln,,Austin,78758,kstanfill@drtx.org,http://www.disabilityrightstx.org/,512-454-4816,866-362-2851,800-252-9108,866-362-2851,512-302-0902,,,,TX,,,,,,,,,Karen Stanfill,Karen Stanfill,832-681-8207
2013,Utah,Published,Disability Law Center,205 North 400 West,,Salt Lake City,84103,azahradnikova@disabilitylawcenter.org,http://www.disabilitylawcenter.org,801-363-1347,,800-662-9080,,801-363-1437,Disability Law Center,205 North 400 West,,UT,84103,azahradnikova@disabilitylawcenter.org,http://www.disabilitylawcenter.org,801-363-1347,,800-662-9080,,801-363-1437,Lindsay Boerens,Adina Zahradnikova,801-363-1347
2013,Virgin Islands,Published,Disability Rights Center of the Virgin Islands,63 Cane Carlton,,Frederiksted,840,info@drcvi.org,http://drcvi.org,340-772-1200,999-999-9999,999-999-9999,999-999-9999,340-772-0609,Disability Rights Center of the Virgin Islands,63 Cane Carlton,,VI,840,info@drcvi.org,http://drcvi.org,340-772-1200,999-999-9999,999-999-9999,999-999-9999,340-772-0609,Amelia Headley LaMont,Amelia Headley LaMont,340 772-1200
2013,Vermont,Published,Vermont Client Assistance Program,57 North Main Street,,Rutland,5738,nbreiden@vtlegalaid.org,http://vtlegalaid.org,802-775-0021,802-775-0021,800-769-7459,800-769-7459,802-775-0022,Vermont Client Assistance Program,57 North Main Street,,VT,5738,nbreiden@vtlegalaid.org,http://vtlegalaid.org,802-775-0021,802-775-0021,800-769-7459,800-769-7459,802-775-0022,Kerry White,Nancy Breiden,802-775-0021
2013,Washington,Published,Client Assistance Program,2531 Rainier Avenue South,Rainier Avenue S,Seattle,98144,jcap@qwestoffice.net,http://washingtoncap.org,(206) 721-5999,(206) 721-6072,(800) 544-2121,(888) 721-6072,(206) 721-5980,Client Assistance Program,2531 Rainier Avenue South,Rainier Avenue S,WA,98144,jcap@qwestoffice.net,http://washingtoncap.org,(206) 721-5999,(206) 721-6072,(800) 544-2121,(888) 721-6072,(206) 721-5980,Jerry Johnsen,Jerry Johnsen,(206) 721-5996
2013,Wisconsin,Published,Wisconsin Client Assistance Program,2811 Agriculture Drive,PO Box 8911,Madison,53708,linda.vegoe@wisconsin.gov,http://www.wicap.wisconsin.gov,608-224-5070,,800-362-1290,,608-224-5069,Wisconsin Client Assistance Program,2811 Agriculture Drive,PO Box 8911,WI,53708,linda.vegoe@wisconsin.gov,http://www.wicap.wisconsin.gov,608-224-5070,,800-362-1290,,608-224-5069,Linda Vegoe,Linda Vegoe,608-224-5070
2013,West Virginia,Published,West Virginia Advocates,Litton Building 4th Floor,1207 Quarrier St.,Charleston,25301,contact@wvadvocates.org,http://wvadvocates.org/,304-346-0847,304-346-0847,1-800-950-5250,1-800-950-5250,304-346-0867,West Virginia Advocates,Litton Building 4th Floor,1207 Quarrier St.,WV,25301,contact@wvadvocates.org,http://wvadvocates.org/,304-346-0847,304-346-0847,1-800-950-5250,1-800-950-5250,304-346-0867,Rose Lowther-Berman,Jodi Calissie,304-346-0847
2013,Wyoming,Published,"Protection & Advocacy System, Inc.",7344 Stockman Street,,Cheyenne,82009,wypanda@wypanda.com,http://www.wypanda.com,(307) 638-7668,(307) 638-7668,1-800-821-3091,1-800-821-3091,(307) 638-0815,"Protection & Advocacy System, Inc.",7344 Stockman Street,,WY,82009,wypanda@wypanda.com,http://www.wypanda.com,(307) 638-7668,(307) 638-7668,1-800-821-3091,1-800-821-3091,(307) 638-0815,Lee Beidleman,Lee Beidleman,(307) 638-7668
2013,Alaska,Published,Alaska State Department of Education,"801 West 10th Street, Suite 200",,Juneau,99801-1894,,,907-465-2875,,,,907-465-3452,Disability Law Center of Alaska,3330 Arctic Blvd. #103,,AK,99503,dfleurant@dlcak.org,http://www.dlcak.org,907-565-1002,907-565-1002,800-478-1234,800-478-1234,907-565-1000,David C. Fleurant,Dave Berube,907-565-1002
2013,Indiana,Published,Indiana Protection and Advocacy Services,4701 N. Keystone Ave.,Suite 222,Indianapolis,46205,,http://www.in.gov/ipas,317-722-5555,317-722-5563,1-800-622-4845,1-800-838-1131,317-722-5564,Indiana Protection and Advocacy Services,4701 N. Keystone Ave.,Suite 222,IN,46205,,http://www.in.gov/ipas,317-722-5555,317-722-5563,1-800-622-4845,1-800-838-1131,317-722-5564,Catharine Wingard,Catharine Wingard,(317) 722-3469
2013,New Jersey,Published,Disability Rights New Jersey,210 S Broad Street,FL 3,Trenton,8608,advocate@drnj.org,http://www.drnj.org,609-292-9742,609-633-7106,800-922-7233,,609-777-0187,Disability Rights New Jersey,210 S Broad Street,FL 3,NJ,8608,advocate@drnj.org,http://www.drnj.org,609-292-9742,609-633-7106,800-922-7233,,609-777-0187,Lillie Lowe-Reid,Lillie Lowe-Reid,609-292-9742
2013,New Mexico,Published,Disability Rights New Mexico,1720 Louisiana Blvd. NE Suite 204,,Albuquerque,87110,info@drnm.org,http://www.drnm.org,505-256-3100,505-256-3100,800-432-4682,800-432-4682,505-256-3184,Disability Rights New Mexico,1720 Louisiana Blvd. NE Suite 204,,NM,87110,info@drnm.org,http://www.drnm.org,505-256-3100,505-256-3100,800-432-4682,800-432-4682,505-256-3184,Bernadine Chavez,Bernadine Chavez,505-256-3100
2013,Rhode Island,Published,RHODE ISLAND DISABILITY LAW CENTER INC.,275 WESTMINSTER STREET,SUITE 401,PROVIDENCE,2903,rbandusky@ridlc.org,http://www.ridlc.org,401-831-3150,401-831-5335,800-733-5332,,401-274-5568,RHODE ISLAND DISABILITY LAW CENTER INC.,275 WESTMINSTER STREET,SUITE 401,RI,2903,rbandusky@ridlc.org,http://www.ridlc.org,401-831-3150,401-831-5335,800-733-5332,,401-274-5568,Anne Mulready,Anne Mulready,401-831-3150
2013,Virginia,Published,dLCV on behalf of VOPA,"1910 Byrd Avenue, Suite 5",,Richmond,23230,info@dlcv.org,http://www.dlcv.org,(804) 225-2042,(804) 225-2042,(800) 552-3962,(800) 552-3962,(804) 662-7431,Virginia Office for Protection and Advocacy (VOPA),"1910 Byrd Avenue, Suite 5",,VA,23230,info@dlcv.org,http://www.dlcv.org,(804) 225-2042,(804) 225-2042,(800) 552-3962,(800) 552-3962,(804) 662-7431,Colleen Miller,Robert Gray,804-225-2042
2013,District of Columbia,Published,"University Legal Services, Inc.","220 I Street, N.E., Suite 130",,Washington,20002,jcooney@uls-dc.org,http://www.uls.dc.org,202 547-4747,202-547-2657,877-221-4638,,202-547-2662,"University Legal Services, Inc.","220 I Street, N.E., Suite 130",,DC,20002,jcooney@uls-dc.org,http://www.uls.dc.org,202 547-4747,202-547-2657,877-221-4638,,202-547-2662,Joseph R. Cooney,Joseph R. Cooney,202 547-0198
2013,New York,Published,"Disability Advocates, Inc. dba DRNY",5 Clinton Square,3rd Floor,Albany,12207,mail@disabilityadvocates.org,http://www.disability-advocates.org,518-432-7861,518-512-3448,800-993-8982,800-993-8982,518-427-6561,,,,NY,,,,,,,,,"Erica Marie Molina, Esq.","Erica Marie Molina, Esq.",518-432-7861
2013,Nevada,Published,Nevada Disability Advocacy & Law Center,"6039 Eldora Avenue, Suite C, Box 3",,Las Vegas,89146,jack@ndalc.org,http://www.ndalc.org,775-333-7878,,800-992-5715,,775-786-2520,,,,NV,,,,,,,,,Bill Heavilin,Cheryl Katzmark,775-333-7878
2014,Northern Marianas,Published,NMPASI,P.O. Box 503529,,Saipan,96950,jimrayphand@gmail.com,http://www.nmpasi.org,(670) 235-7273,(670) 235-7278,,,(670) 235-7275,NMPASI,P.O. Box 503529,,MP,96950,jimrayphand@gmail.com,http://www.nmpasi.org,(670) 235-7273,(670) 235-7278,,,(670) 235-7275,Jimmy G. Sablan,James M. Rayphand,(670) 235-7273
